assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,timeOnIcePerGame
128,68.0,136.0,,26,489,147,Aurie,2,283,8444987,,275,0.56237,R,12.0,36.0,3.0,5.0,,R,,Larry Aurie,
158,28.0,173.0,,2,979,31,Awrey,0,1068,8444988,94.0,189,0.19305,D,3.0,10.0,0.0,6.0,0.03256,L,952.0,Don Awrey,
11,2.0,7.0,,0,211,6,Ayres,0,332,8444989,,17,0.08056,D,0.0,1.0,0.0,0.0,,L,,Vern Ayres,
73,70.0,133.0,,11,351,86,Babando,0,194,8444992,,159,0.45299,L,15.0,24.0,1.0,2.0,,L,,Pete Babando,
0,0.0,0.0,,0,8,0,Babin,0,0,8444993,-2.0,0,0.0,C,0.0,0.0,0.0,0.0,0.0,L,2.0,Mitch Babin,
5,4.0,7.0,,1,36,4,Backor,0,6,8444995,,9,0.25,D,0.0,2.0,0.0,0.0,,L,,Pete Backor,
361,243.0,560.0,,40,1032,278,Backstrom,0,389,8444996,71.0,639,0.61918,C,31.0,72.0,4.0,7.0,,L,2460.0,Ralph Backstrom,
171,90.0,221.0,,12,568,107,Bailey,0,633,8444997,-76.0,278,0.48943,L,14.0,50.0,3.0,7.0,0.1209,L,885.0,Garnet Bailey,
81,2.0,4.0,,25,316,111,Bailey,4,488,8444998,,192,0.60759,R,0.0,1.0,0.0,0.0,,R,,Ace Bailey,
36,19.0,48.0,,1,153,19,Andruff,0,54,8444999,-38.0,55,0.35947,C,0.0,6.0,0.0,1.0,0.07723,R,246.0,Ron Andruff,
698,356.0,758.0,0.55413,77,1639,640,Andreychuk,7,1121,8445000,32.0,1338,0.81635,L,274.0,567.0,10.0,13.0,0.14047,R,4556.0,Dave Andreychuk,
21,13.0,32.0,,2,149,15,Bailey,0,207,8445001,,36,0.24161,R,2.0,4.0,0.0,0.0,,R,,Bob Bailey,
2,0.0,2.0,,0,10,0,Baird,0,15,8445002,-10.0,2,0.2,D,0.0,0.0,0.0,0.0,0.0,L,6.0,Ken Baird,
1,0.0,0.0,,0,24,0,Baldwin,0,8,8445003,,1,0.04166,D,0.0,1.0,0.0,0.0,,L,,Doug Baldwin,
22,18.0,36.0,,5,288,30,Balfour,0,78,8445004,1.0,52,0.18055,L,6.0,7.0,6.0,9.0,,L,144.0,Earl Balfour,
90,57.0,138.0,,7,306,67,Balfour,0,389,8445005,8.0,157,0.51307,R,10.0,19.0,0.0,0.0,,R,579.0,Murray Balfour,
19,3.0,7.0,,0,74,7,Ball,0,26,8445006,-18.0,26,0.35135,D,3.0,18.0,1.0,1.0,0.06481,R,108.0,Terry Ball,
222,153.0,332.0,,35,777,192,Balon,0,607,8445007,45.0,414,0.53281,L,35.0,73.0,4.0,9.0,,L,1464.0,Dave Balon,
0,0.0,0.0,,0,7,0,Baluik,0,2,8445009,-2.0,0,0.0,C,0.0,0.0,0.0,0.0,,L,7.0,Stan Baluik,
0,0.0,0.0,,0,1,0,Anholt,0,0,8445013,2.0,0,0.0,D,0.0,0.0,0.0,0.0,,L,0.0,Darrel Anholt,
15,8.0,17.0,,0,87,10,Antonovich,0,37,8445015,-27.0,25,0.28735,C,2.0,8.0,0.0,0.0,0.08264,L,121.0,Mike Antonovich,
5,3.0,8.0,,1,183,3,Antoski,0,599,8445017,-20.0,8,0.04371,L,0.0,0.0,0.0,0.0,0.0326,L,92.0,Shawn Antoski,
0,0.0,0.0,,0,1,0,Barbe,0,2,8445018,,0,0.0,R,0.0,0.0,0.0,0.0,,R,,Andy Barbe,
36,20.0,46.0,,2,252,26,Barilko,0,456,8445019,,62,0.24603,D,3.0,13.0,3.0,3.0,,R,,Bill Barilko,
80,18.0,79.0,,1,253,24,Barkley,0,382,8445020,56.0,104,0.41106,D,6.0,23.0,0.0,2.0,,R,748.0,Doug Barkley,
17,9.0,21.0,,1,77,16,Barlow,0,10,8445021,-4.0,33,0.42857,L,6.0,11.0,1.0,1.0,0.09756,L,164.0,Bob Barlow,
423,133.0,443.0,,22,727,183,Apps Jr.,0,311,8445022,36.0,606,0.83356,C,39.0,143.0,11.0,20.0,0.12167,R,1504.0,Syl Apps Jr.,
42,9.0,45.0,,1,158,10,Barrie,0,268,8445024,-50.0,52,0.32911,D,1.0,7.0,0.0,0.0,0.04329,R,231.0,Doug Barrie,
3,1.0,4.0,,0,19,1,Barry,0,2,8445025,,4,0.21052,L,0.0,0.0,0.0,0.0,,L,,Ed Barry,
193,90.0,211.0,,25,507,194,Barry,2,231,8445026,,387,0.76331,C,20.0,35.0,0.0,1.0,,L,,Marty Barry,
2,1.0,3.0,,0,18,1,Barry,0,6,8445027,,3,0.16666,C,0.0,0.0,0.0,0.0,,L,,Ray Barry,
23,29.0,50.0,,3,191,34,Bartlett,0,273,8445028,-23.0,57,0.29842,L,3.0,4.0,2.0,3.0,,L,197.0,Jimmy Bartlett,
11,0.0,0.0,,0,85,10,Barton,0,25,8445029,,21,0.24705,R,0.0,0.0,0.0,0.0,,R,,Cliff Barton,
624,265.0,653.0,,35,1069,349,Bathgate,0,624,8445032,-60.0,973,0.91019,R,78.0,311.0,6.0,9.0,,R,2461.0,Andy Bathgate,
0,0.0,0.0,,0,2,0,Bathgate,0,2,8445033,,0,0.0,C,0.0,0.0,0.0,0.0,,R,,Frank Bathgate,
136,108.0,232.0,,21,327,123,Bauer,2,38,8445034,,259,0.79204,R,15.0,25.0,0.0,2.0,,R,,Bobby Bauer,
0,0.0,0.0,,0,17,0,Baumgartner,0,0,8445035,-9.0,0,0.0,D,0.0,0.0,0.0,0.0,0.0,L,13.0,Mike Baumgartner,
187,36.0,207.0,,3,964,37,Baun,0,1489,8445036,139.0,224,0.23236,D,1.0,15.0,0.0,2.0,,R,1176.0,Bob Baun,
85,39.0,94.0,,11,329,62,Beattie,2,134,8445037,,147,0.4468,L,5.0,12.0,0.0,0.0,,L,,Red Beattie,
2,0.0,1.0,,0,25,1,Beaudin,0,4,8445038,-7.0,3,0.12,R,1.0,2.0,0.0,0.0,0.04,R,25.0,Norm Beaudin,
6,7.0,13.0,,1,68,7,Beckett,0,18,8445039,-20.0,13,0.19117,C,0.0,0.0,0.0,0.0,,L,51.0,Bob Beckett,
1,1.0,2.0,,0,22,1,Bedard,0,8,8445040,,2,0.0909,D,0.0,0.0,0.0,0.0,,L,,James Bedard,
0,1.0,1.0,,0,5,1,Behling,0,0,8445041,,1,0.2,D,0.0,0.0,0.0,0.0,,R,,Dick Behling,
0,0.0,0.0,,0,2,0,Beisler,0,0,8445042,,0,0.0,D,0.0,0.0,0.0,0.0,,L,,Frank Beisler,
0,2.0,2.0,,0,4,2,Belisle,0,0,8445043,3.0,2,0.5,R,0.0,0.0,0.0,0.0,0.25,R,8.0,Danny Belisle,
3,,,,0,67,3,Bell,0,12,8445044,,6,0.08955,C,,,,,,R,,Billy Bell,
1,0.0,1.0,,0,1,0,Bell,0,0,8445045,,1,1.0,R,0.0,0.0,0.0,0.0,,R,,Harry Bell,
9,7.0,16.0,,0,62,8,Bell,0,18,8445046,,17,0.27419,L,1.0,1.0,0.0,0.0,,L,,Joe Bell,
6,,,,5,92,26,Bellefeuille,0,56,8445047,,32,0.34782,R,,,,,,R,,Pete Bellefeuille,
0,,,,0,15,0,Bellemer,0,0,8445049,,0,0.0,D,,,,,,L,,Andy Bellemer,
1,3.0,4.0,,0,8,3,Bend,0,2,8445051,,4,0.5,C,0.0,0.0,0.0,0.0,,L,,Lin Bend,
67,37.0,84.0,,8,323,57,Archibald,1,139,8445053,-75.0,124,0.3839,C,20.0,40.0,0.0,0.0,0.11354,L,502.0,Dave Archibald,
2,1.0,3.0,,0,16,1,Archibald,0,45,8445054,-4.0,3,0.1875,R,0.0,0.0,0.0,0.0,0.05,R,20.0,Jim Archibald,
1,0.0,1.0,,0,7,0,Bennett,0,2,8445055,,1,0.14285,L,0.0,0.0,0.0,0.0,,R,,Frank Bennett,
46,41.0,85.0,,4,268,44,Bennett,0,347,8445056,-91.0,90,0.33582,C,3.0,5.0,0.0,0.0,0.15547,L,283.0,Harvey Bennett,
0,0.0,0.0,,0,1,0,Bennett,0,0,8445057,,0,0.0,R,0.0,0.0,0.0,0.0,,R,,Max Bennett,
0,0.0,0.0,,0,4,0,Areshenkoff,0,0,8445058,-4.0,0,0.0,C,0.0,0.0,0.0,0.0,0.0,L,3.0,Ron Areshenkoff,
69,62.0,108.0,,8,185,75,Benoit,1,94,8445059,,144,0.77837,R,13.0,36.0,0.0,0.0,,R,,Joe Benoit,
24,9.0,28.0,,1,69,11,Benson,0,35,8445060,,35,0.50724,C,2.0,7.0,0.0,0.0,,L,,Bill Benson,
2,,,,0,8,0,Benson,0,4,8445061,,2,0.25,D,,,,,,L,,Bobby Benson,
324,178.0,422.0,,28,565,219,Bentley,1,217,8445062,,543,0.96106,L,39.0,116.0,2.0,5.0,,L,,Doug Bentley,
299,180.0,360.0,,38,646,245,Bentley,0,177,8445063,,544,0.8421,C,64.0,182.0,1.0,2.0,,L,,Max Bentley,
2,1.0,3.0,,0,11,1,Bentley,0,2,8445064,,3,0.27272,L,0.0,0.0,0.0,0.0,,L,,Reg Bentley,
1,0.0,1.0,,0,1,0,Armstrong,0,0,8445065,1.0,1,1.0,L,0.0,0.0,0.0,0.0,0.0,L,1.0,Bill Armstrong,
397,176.0,427.0,,38,987,261,Berenson,0,303,8445067,-124.0,658,0.66666,C,73.0,209.0,12.0,22.0,0.10423,L,2504.0,Red Berenson,
0,,,,0,2,0,Bergdinon,0,0,8445068,,0,0.0,R,,,,,,R,,Fred Bergdinon,
0,0.0,0.0,,0,3,0,Bergeron,0,0,8445069,-3.0,0,0.0,R,0.0,0.0,0.0,0.0,0.0,R,2.0,Yves Bergeron,
299,49.0,270.0,,11,838,68,Bergman,0,1251,8445070,-44.0,367,0.43794,D,15.0,81.0,4.0,16.0,0.0435,L,1563.0,Gary Bergman,
32,,,,7,193,45,Berlinquette,0,132,8445071,,77,0.39896,L,,,,,,L,,Louis Berlinquette,
191,118.0,283.0,,19,541,159,Berry,0,344,8445072,-7.0,350,0.64695,L,41.0,67.0,0.0,0.0,0.1717,L,926.0,Bob Berry,
0,0.0,0.0,,0,3,0,Berry,0,0,8445073,-3.0,0,0.0,C,0.0,0.0,0.0,0.0,0.0,L,4.0,Fred Berry,
4,1.0,5.0,,1,30,1,Besler,0,18,8445074,,5,0.16666,R,0.0,0.0,0.0,0.0,,R,,Phil Besler,
1,0.0,1.0,,0,6,0,Bessone,0,6,8445075,,1,0.16666,D,0.0,0.0,0.0,0.0,,L,,Pete Bessone,
12,8.0,20.0,,1,44,9,Bettio,0,34,8445078,,21,0.47727,L,1.0,1.0,0.0,0.0,,L,,Sam Bettio,
46,1.0,25.0,,1,164,11,Bialowas,0,46,8445079,-20.0,57,0.34756,D,10.0,32.0,0.0,0.0,0.05092,R,216.0,Dwight Bialowas,
3,0.0,3.0,,0,20,0,Bignell,0,2,8445080,-3.0,3,0.15,D,0.0,0.0,0.0,0.0,0.0,L,13.0,Larry Bignell,
9,3.0,12.0,,1,93,3,Bionda,0,111,8445081,,12,0.12903,D,0.0,0.0,0.0,0.0,,L,,Jack Bionda,
20,10.0,29.0,,1,113,11,Black,0,77,8445082,,31,0.27433,L,1.0,2.0,0.0,0.0,,L,,Steve Black,
12,8.0,19.0,,2,135,8,Blackburn,0,105,8445083,-12.0,20,0.14814,D,0.0,1.0,0.0,0.0,0.05633,L,142.0,Bob Blackburn,
44,21.0,60.0,,5,185,23,Blackburn,0,87,8445084,-50.0,67,0.36216,L,2.0,7.0,0.0,0.0,0.0721,L,319.0,Don Blackburn,
3,2.0,5.0,,0,24,2,Blade,0,2,8445085,,5,0.20833,L,0.0,0.0,0.0,0.0,,L,,Hank Blade,
0,1.0,1.0,,0,11,1,Armstrong,0,6,8445087,-2.0,1,0.0909,C,0.0,0.0,0.0,0.0,0.2,R,5.0,Tim Armstrong,
189,126.0,288.0,,19,730,149,Arniel,1,599,8445088,-11.0,338,0.46301,L,15.0,39.0,8.0,11.0,0.13707,L,1087.0,Scott Arniel,
90,86.0,156.0,,11,401,109,Arnason,0,122,8445089,-73.0,199,0.49625,R,23.0,43.0,0.0,0.0,0.1151,R,947.0,Chuck Arnason,
8,1.0,8.0,,0,80,1,Arthur,0,49,8445090,-12.0,9,0.1125,D,0.0,0.0,0.0,1.0,0.02702,L,37.0,Fred Arthur,
0,0.0,0.0,,0,1,0,Blaine,0,0,8445091,,0,0.0,R,0.0,0.0,0.0,0.0,,R,,Garry Blaine,
87,17.0,41.0,,17,405,74,Blair,2,325,8445093,,161,0.39753,C,6.0,12.0,2.0,3.0,,L,,Andy Blair,
0,0.0,0.0,,0,1,0,Blair,0,0,8445095,,0,0.0,R,0.0,0.0,0.0,0.0,,R,,Chuck Blair,
0,0.0,0.0,,0,2,0,Blair,0,0,8445096,,0,0.0,C,0.0,0.0,0.0,0.0,,R,,Dusty Blair,
1,1.0,2.0,,0,17,1,Blake,0,4,8445097,,2,0.11764,L,0.0,0.0,0.0,0.0,,L,,Mickey Blake,
294,195.0,432.0,,31,577,235,Blake,4,282,8445098,,529,0.91681,L,38.0,95.0,2.0,2.0,,L,,Toe Blake,
66,44.0,96.0,,11,265,59,Blinco,2,24,8445099,,125,0.47169,C,12.0,23.0,3.0,6.0,,L,,Russ Blinco,
